ลำดับ,โครงการ,กลุ่มกิจการ,ประเภทโครงการ,กระทรวงเจ้าสังกัด,หน่วยงานเจ้าของโครงการ,เอกชนคู่สัญญา,ระยะเวลาโครงการ,วันที่ลงนามในสัญญา,วันที่,มูลค่าโครงการ,รูปแบบการจัดสรรกรรมสิทธิ์,รูปแบบสัมปทานหรือค่าตอบแทน,กฎหมายที่เกี่ยวข้อง,แหล่งข้อมูล
23,โครงการรถไฟฟ้าสายสีม่วง ช่วงบางใหญ่ - บางซื่อ,(2) รถไฟ รถไฟฟ้า การขนส่งทางราง,รถไฟฟ้า,กระทรวงคมนาคม,การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.),บริษัท ทางด่วนและรถไฟฟ้ากรุงเทพ จำกัด (มหาชน) (BEM),30 ปี,4 กันยายน 2556,4 กันยายน 2556,"ประมาณ 60,185 ล้านบาท (สคร.)
ประมาณ 62,902.96 ล้านบาท (สนข.)",BTO,PPP Gross Cost,"• พระราชบัญญัติว่าด้วยการให้เอกชนเข้าร่วมงานหรือดำเนินการในกิจการของรัฐ พ.ศ. 2535
• พระราชบัญญัติว่าการรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทยพ.ศ. 2543","https://ppp.sepo.go.th/content/151
หนังสือสรุปผู้บริหาร สนข."
39,โครงการพัฒนาท่าเรือแหลมฉบัง ระยะที่ 3,(4) ท่าเรือ การขนส่งทางน้ำ,ท่าเรือ,กระทรวงคมนาคม,การท่าเรือแห่งประเทศไทย (กทท.),"กลุ่มกิจการร่วมค้า GPC ประกอบด้วย 
(1) บริษัท กัลฟ์ เอ็นเนอร์จี ดีเวลลอปเมนท์ จำกัด (มหาชน) 
(2) บริษัทพีทีที แทงค์ เทอร์มินัล จำกัด และ
(3) บริษัท ไชน่า ฮาร์เบอร์ เอ็นจิเนียริ่ง จำกัด",35 ปี,4 ตุลาคม 2564,4 ตุลาคม 2564,"ประมาณ 47,060 ล้านบาท",BOT,PPP Net Cost,"• พระราชบัญญัติการร่วมลงทุนระหว่างภาครัฐและเอกชน พ.ศ. 2562
• พระราชบัญญัติการนิคมอุตสาหกรรม พ.ศ. 2522",หนังสือสรุปผู้บริหาร สนข.
31,โครงการศูนย์การขนส่งชายแดนจังหวัดนครพนม,(1) ถนน ทางหลวง ทางพิเศษ การขนส่งทางถนน,การขนส่งทางถนน,กระทรวงคมนาคม,กรมขนส่งทางบก,บริษัท เอสเอแอล จํากัด,30 ปี,5 เมษายน 2566,5 เมษายน 2566,"ประมาณ 1,361 ล้านบาท",,,,https://ppp.sepo.go.th/content/142
19,โครงการสัญญาลงทุนก่อสร้าง บริหาร และประกอบการท่าเทียบเรือ เอ 3 ซี 1 ซี 2 ดี 1 ดี 2 และ ดี 3 ณ ท่าเรือแหลมฉบัง,(4) ท่าเรือ การขนส่งทางน้ำ,ท่าเรือ,กระทรวงคมนาคม,การท่าเรือแห่งประเทศไทย (กทท.),บริษัท ฮัทชิสัน แหลมฉบัง เทอร์มินัล จำกัด (HLT) (บริษัทฯ),30 ปี,6 ตุลาคม 2547,6 ตุลาคม 2547,"ท่าเรือ A3: เงินลงทุนในโครงการ: 1,721.61 ล้านบาท
ท่าเรือ C1 และ C2: เงินลงทุนโครงการ: 9,817.36 ล้านบาท
ท่าเรือ D1, D2 และ D3: เงินลงทุนโครงการ: 12,891.40 ล้านบาท",BOT,"HLT จ่ายค่าตอบแทนให้ กทท. 2 ส่วน
1. ค่าตอบแทนประจำปี (Fixed Fee)
2. ผลประโยชน์ตอบแทนเพิ่มเติมรายปี (Additional Fee)","• พ.ร.บ. ว่าด้วยการให้เอกชนเข้าร่วมงานหรือดำเนินการในกิจการ
ของรัฐ พ.ศ. 2535",https://ppp.sepo.go.th/content/160
37,โครงการก่อสร้างสถานีบรรจุและแยกสินค้ากล่อง (ICD) ที่ลาดกระบัง,(2) รถไฟ รถไฟฟ้า การขนส่งทางราง,รถไฟ,กระทรวงคมนาคม,การรถไฟแห่งประเทศไทย (รฟท.),"1) สถานี A ได้แก่ บริษัท สยามชอร์ไซด์ เซอร์วิส จำกัด (SSS)
2) สถานี B ได้แก่ บริษัท อีสเทิร์น ซี แหลมฉบัง เทอร์มินัล จำกัด (ESCO)
3) สถานี C ได้แก่ บริษัท เอเวอร์กรีน คอนเทนเนอร์ เทอร์มินัล (ประเทศไทย) จำกัด (ECTT)
4) สถานี D ได้แก่ บริษัท ทิฟฟ่า ไอซีดี จำกัด (TIFFA)17
5) สถานี E ได้แก่ บริษัท ไทยฮันจิน โลจิสติกส์ จำกัด (THL)
6) สถานี F ได้แก่ บริษัท เอ็น.วาย.เค.ดิสทริบิวชั่น เซอร์วิส (ประเทศไทย) จำกัด (NICD)",15 ปี,"1) สถานี A, B, C และ F เริ่มต้นตั้งแต่วันที่ 6 มีนาคม 2539
2) สถานี D และ E เริ่มต้นตั้งแต่วันที่ 19 ธันวาคม 2540 ",6 มีนาคม 2539,"ประมาณ 1,857 ล้านบาท","• รัฐเป็นผู้ลงทุนโครงสร้างพื้นฐานทั้งหมด ไม่รวมทรัพย์สิน
ที่ผู้รับสัมปทานจัดหามาเพื่อใช้ดำเนินการ","• ภาครัฐได้รับค่าธรรมเนียมสัมปทานรายเดือน
• ผู้รับสัมปทานได้รับสิทธิในการเก็บรายได้จากการให้บริการสถานีบรรจุและแยกสินค้ากล่อง โดยอัตราค่าบริการดังกล่าวต้องอิงตามอัตราค่าบริการที่การท่าเรือแห่งประเทศไทยกำหนด","• พระราชบัญญัติว่าด้วยการให้เอกชนเข้าร่วมงานหรือดำเนินการ
ในกิจการของรัฐ พ.ศ. 2535
• พระราชบัญญัติการให้เอกชนร่วมลงทุนในกิจการของรัฐ พ.ศ. 2556
• พระราชบัญญัติการร่วมลงทุนระหว่างรัฐและเอกชน พ.ศ. 2562",หนังสือสรุปผู้บริหาร สนข.
3,โครงการระบบขนส่งมวลชนกรุงเทพมหานคร (รถไฟฟ้าสายสีเขียว),(2) รถไฟ รถไฟฟ้า การขนส่งทางราง,รถไฟฟ้า,กระทรวงมหาดไทย,กรุงเทพมหานคร (กทม.),บริษัท ระบบขนส่งมวลชนกรุงเทพ จำกัด (BTSC),30 ปี,9 เมษายน 2535,9 เมษายน 2535,"ช่วงหมอชิต – สะพานใหม่ - คูคต  58,384.45 ล้านบาท
ส่วนต่อขยายสายสุขุมวิท (ช่วงแบริ่ง - สมุทรปราการ) 27,819 ล้านบาท","•  อสังหาริมทรัพย์ที่เกิดจากการก่อสร้างหรืองานโครงสร้าง
BTO
•  ระบบไฟฟ้าและเครื่องกล ซึ่งรวมถึงขบวนรถไฟฟ้า
ในปัจจุบันและที่จะซื อเพิ่มในอนาคต
BOT",PPP net cost,"• พระราชบัญญัติว่าด้วยการให้เอกชนเข้าร่วมงานหรือดำเนินการในกิจการของรัฐ พ.ศ. 2535
• พระราชบัญญัติการให้เอกชนร่วมลงทุนในกิจการของรัฐ พ.ศ. 2556
• พระราชบัญญัติการร่วมลงทุนระหว่างรัฐและเอกชน พ.ศ. 2562
• พระราชบัญญัติการรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย พ.ศ. 2543
• ประกาศคณะปฏิวัติ ฉบับที่ 58
• พระราชบัญญัติส่งเสริมและรักษาคุณภาพสิ่งแวดล้อม พ.ศ. 2535","https://ppp.sepo.go.th/content/172
หนังสือสรุปผู้บริหาร สนข."
8,โครงการบริหารศูนย์ประชุมแห่งชาติสิริกิติ์,(11) ศูนย์นิทรรศการและศูนย์การประชุม,ศูนย์นิทรรศการและศูนย์การประชุม,กระทรวงการคลัง,กรมธนารักษ์,บริษัท เอ็น ซี ซี แมนเนจเม้นท์แอนด์ ดีเวลลอปเม้นท์ จำกัด,50 ปี,9 เมษายน 2539 (ฉบับปรับปรุง),9 เมษายน 2539,N/A,BTO,,,https://ppp.sepo.go.th/content/167
7,โครงการสัญญาเช่าสำหรับการบริหารและประกอบการท่าเทียบเรือตู้สินค้า บี 1,(4) ท่าเรือ การขนส่งทางน้ำ,ท่าเรือ,กระทรวงคมนาคม,การท่าเรือแห่งประเทศไทย (กทท.),บริษัท แอลซีบี คอนเทนเนอร์ เทอร์มินัล 1 จำกัด,27 ปี,9 ตุลาคม 2538,9 ตุลาคม 2538,N/A,,,,https://ppp.sepo.go.th/content/168
30,โครงการบริหารจัดการท่าเทียบเรือสาธารณะ เพื่อขนถ่ายสินค้าเหลว,(4) ท่าเรือ การขนส่งทางน้ำ,ท่าเรือ,กระทรวงอุตสาหกรรม,การนิคมอุตสาหกรรมแห่งประเทศไทย,บริษัท ไทยแท้งค์เทอร์มินัล จำกัด,30 ปี,9 ธันวาคม 2565,9 ธันวาคม 2565,"ประมาณ 3,222 ล้านบาท",BOT,PPP Net Cost,,https://ppp.sepo.go.th/content/143
35,โครงการให้บริการลานจอดและอุปกรณ์ภาคพื้น การให้บริการผู้โดยสารภาคพื้นและกิจการอื่นๆ ที่เกี่ยวเนื่อง ณ ท่าอากาศยานสุวรรณภูมิของผู้ประกอบการรายที่ 3,(3) ท่าอากาศยาน การขนส่งทางอากาศ,ท่าอากาศยาน,กระทรวงคมนาคม,บริษัท ท่าอากาศยานไทย จำกัด (มหาชน) (ทอท.),,25 ปี,,,"ประมาณ 4,815 ล้านบาท",,PPP Net Cost,,https://ppp.sepo.go.th/uploads/document/file/3aa6bb93c445527ebeb7da27cd37292b.pdf
